ADDITIONALINFOSPEC,,,,,,/ADDITIONALINFOSPEC
SUBREC_MASK1,DESCRIPTION,DATA_TYPE.GRP,DATA_TYPE.TYPE,FIELD_NAME,REC_TYPE,
8,Leveraged Notional,Standard,Double,sp_LeverageNotional,Instrument,
32776,MMLD Calendar1,RecordRef,Calendar,sp_MLDCal1,Instrument,
32776,MMLD Calendar2,RecordRef,Calendar,sp_MLDCal2,Instrument,
32776,MMLD Calendar3,RecordRef,Calendar,sp_MLDCal3,Instrument,
32776,MMLD Ceiling,Standard,Double,sp_MLDCeiling,Instrument,
32776,MMLD Day Basis,Standard,Integer,sp_MLDDayBasis,Instrument,
32776,MMLD Floor,Standard,Double,sp_MLDFloor,Instrument,
32776,MMLD Premium Option,Standard,Double,sp_MLDMaxYield,Instrument,
32776,MMLD Premium Option,Standard,Double,sp_MLDMinYield,Instrument,
32776,MMLD Premium Option,Standard,Double,sp_MLDPremiumOption,Instrument,
8,MMLD Reference,RecordRef,CurrencyPair,sp_MLDReference,Instrument,
32768,MMLD Reference for IR,RecordRef,Instrument,sp_MLDIRReference,Instrument,
32776,Business Day Method for calculating delivery dates,Enum,BusinessDayMethod,sp_PayDayMethod,Instrument,
32776,Frequency of date schedule,Standard,String,sp_RollingPeriod,Instrument,
,External Identifier,Standard,String,sp_ExternalId,DealPackage,
,StructureType,RecordRef,ChoiceList,StructureType,Instrument,
