CURRENCYPAIR,,,,,,,,,,/CURRENCYPAIR
CURR1.INSID,CURR2.INSID,LIQUID_CROSS_RATE,NAME,POINT_VALUE,POINT_VALUE_INVERSE,SPOT_BANKING_DAYS_OFFSET,SPOT_HOLIDAY_OBSERVANCE,VALUE_DAY_ROLLOVER_CUTOFF,VALUE_DAY_ROLLOVER_TIME_ZONE,
AED,IDR,,AED/IDR,1,1,2,Split Via Base,,,
AUD,CAD,,AUD/CAD,0.0001,0.0001,2,Split Via Base,,,
AUD,CHF,,AUD/CHF,1,0.0001,2,Split Via Base,,,
AUD,IDR,Yes,AUD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
AUD,SGD,,AUD/SGD,1,1,2,Split Via Base,,,
BHD,IDR,,BHD/IDR,1,1,2,Split Via Base,,,
BND,IDR,,BND/IDR,0.0001,0.1,2,Split Via Base,,,
CAD,IDR,Yes,CAD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
CAD,JPY,,CAD/JPY,1,1,2,Split Via Base,,,
CHF,IDR,Yes,CHF/IDR,1,0.0001,2,Spot Days In Non-Base,,,
CHF,JPY,,CHF/JPY,1,0.0001,2,Split Via Base,,,
CHF,SEK,,CHF/SEK,1,0.0001,2,Split Via Base,,,
CNY,HKD,,CNY/HKD,1,1,2,Split Via Base,,,
CNY,IDR,Yes,CNY/IDR,1,0.0001,2,Spot Days In Non-Base,,,
DKK,IDR,Yes,DKK/IDR,1,0.0001,2,Spot Days In Non-Base,,,
EUR,CNY,,EUR/CNY,1,1,2,Split Via Base,,,
EUR,IDR,Yes,EUR/IDR,1,0.0001,2,Spot Days In Non-Base,,,
EUR,SEK,,EUR/SEK,1,1,2,Split Via Base,,,
EUR,SGD,,EUR/SGD,1,1,2,Split Via Base,,,
EUR,THB,,EUR/THB,1,1,2,Split Via Base,,,
GBP,AUD,,GBP/AUD,0.0001,0.0001,2,Spot Days In Non-Base,,,
GBP,CAD,,GBP/CAD,0.0001,0.0001,2,Spot Days In Non-Base,,,
GBP,CHF,,GBP/CHF,1,1,2,Split Via Base,,,
GBP,HKD,,GBP/HKD,0.0001,0.1,2,Spot Days In Non-Base,,,
GBP,IDR,Yes,GBP/IDR,1,0.0001,2,Spot Days In Non-Base,,,
GBP,NOK,,GBP/NOK,0.0001,0.0001,2,Split Via Base,,,
GBP,NZD,,GBP/NZD,0.0001,0.0001,2,Spot Days In Non-Base,,,
GBP,SGD,,GBP/SGD,1,1,2,Split Via Base,,,
HKD,IDR,Yes,HKD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
INR,IDR,Yes,INR/IDR,1,1,2,Split Via Base,,,
JOD,IDR,,JOD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
JPY,IDR,Yes,JPY/IDR,1,0.0001,2,Spot Days In Non-Base,,,
KRW,IDR,Yes,KRW/IDR,1,0.0001,2,Spot Days In Non-Base,,,
KWD,IDR,,KWD/IDR,1,1,2,Split Via Base,,,
MYR,IDR,Yes,MYR/IDR,1,1,2,Split Via Base,,,
NOK,IDR,Yes,NOK/IDR,1,1,2,Split Via Base,,,
NZD,CAD,,NZD/CAD,1,1,2,Split Via Base,,,
NZD,IDR,Yes,NZD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
NZD,JPY,,NZD/JPY,1,1,2,Split Via Base,,,
PGK,IDR,,PGK/IDR,1,1,2,Split Via Base,,,
PHP,IDR,Yes,PHP/IDR,1,1,2,Split Via Base,,,
SAR,IDR,Yes,SAR/IDR,1,1,2,Split Via Base,,,
SEK,IDR,Yes,SEK/IDR,1,1,2,Split Via Base,,,
SGD,CNY,,SGD/CNY,1,1,2,Split Via Base,,,
SGD,HKD,,SGD/HKD,1,1,2,Split Via Base,,,
SGD,IDR,Yes,SGD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
SGD,JPY,,SGD/JPY,1,1,2,Split Via Base,,,
THB,IDR,Yes,THB/IDR,1,1,2,Split Via Base,,,
TWD,IDR,Yes,TWD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
USD,AED,Yes,USD/AED,1,1,2,Split Via Base,,,
USD,BHD,Yes,USD/BHD,1,1,2,Split Via Base,,,
USD,BND,Yes,USD/BND,1,1,2,Split Via Base,,,
USD,CNH,,USD/CNH,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,CNY,Yes,USD/CNY,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,DKK,Yes,USD/DKK,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,HKD,Yes,USD/HKD,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,IDR,Yes,USD/IDR,1,0.0001,2,Spot Days In Non-Base,,,
USD,INR,Yes,USD/INR,0.01,0.01,2,Spot Days In Non-Base,,,
USD,JOD,Yes,USD/JOD,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,KRW,Yes,USD/KRW,0.01,0.0001,2,Spot Days In Non-Base,,,
USD,KWD,Yes,USD/KWD,1,1,2,Split Via Base,,,
USD,MYR,Yes,USD/MYR,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,NOK,Yes,USD/NOK,1,1,2,Split Via Base,,,
USD,PGK,Yes,USD/PGK,1,1,2,Split Via Base,,,
USD,PHP,Yes,USD/PHP,1,1,2,Split Via Base,,,
USD,SAR,Yes,USD/SAR,1,1,2,Split Via Base,,,
USD,SEK,Yes,USD/SEK,1,1,2,Split Via Base,,,
USD,SGD,Yes,USD/SGD,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,THB,Yes,USD/THB,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,TWD,Yes,USD/TWD,0.0001,0.0001,2,Spot Days In Non-Base,,,
USD,VND,Yes,USD/VND,1,0.0001,2,Spot Days In Non-Base,,,
VND,IDR,Yes,VND/IDR,1,1,2,Split Via Base,,,
