TRADE,,,,,,,,,,,,,,,,,,/TRADE
STATUS,CONNECTED_TRDNBR,QUANTITY,PREMIUM,CURR.INSID,PRFNBR.PRFID,TYPE,ACQUIRE_DAY,VALUE_DAY,TIME,PRICE,REFERENCE_PRICE,ACQUIRER_PTYNBR.PTYID,TRADE_PROCESS,TRADER_USRNBR.USERID,INSADDR.INSID,PRFNBR.ASSINF,COUNTERPARTY_PTYNBR.PTYID,
FO Confirmed,3,1000000,-1200000,USD,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:17:32 UTC,1.2,1,Acquirer 1,8192,ARENASYS,EUR,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,3,1000000,-1500000,USD,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:17:32 UTC,1.4,1,Acquirer 1,8192,ARENASYS,EUR,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,3,1000000,-1000000,USD,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:17:32 UTC,1.5,1,Acquirer 1,8192,ARENASYS,EUR,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,3,1000000,-1500000,USD,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:17:32 UTC,1.6,1,Acquirer 1,8192,ARENASYS,EUR,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,3,1000000,-1800000,USD,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:17:32 UTC,1.8,1,Acquirer 1,8192,ARENASYS,EUR,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-150000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,150,146,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-160000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,160,150,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-170000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,170,160,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-180000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,180,170,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-190000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,190,180,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-200000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,200,190,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,2,1000000,-150000000,JPY,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:14:36 UTC,210,200,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,1,1000000,-16500000000,IDR,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:13:41 UTC,16500,16000,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,1,1000000,-18000000000,IDR,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:13:41 UTC,15000,14500,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
FO Confirmed,1,1000000,-20000000000,IDR,VaR Test Portfolio,Normal,1/31/2023,1/31/2023,2022-10-27 10:13:41 UTC,15500,15000,Acquirer 1,8192,ARENASYS,USD,VaR Test Portfolio,Correspondent Bank 1 (J.P.MORGAN US),
