INSTRUMENT,,,,,,,,,,,LEG,,,,,,,,,,,,,,,,,,,,,,,,,CASHFLOW,,,,,,,,RESET,,,,/RESET,/CASHFLOW,/LEG,ADDITIONALINFO,,/ADDITIONALINFO,/INSTRUMENT
CONTR_SIZE,CURR.INSID,EXP_DAY,INSID,INSTYPE,MTM_FROM_FEED,PAY_OFFSET_METHOD,PRODUCT_CHLNBR.ENTRY,PRODUCT_CHLNBR.LIST,QUOTATION_SEQNBR.NAME,SPOT_BANKING_DAYS_OFFSET,CURR.INSID,DAYCOUNT_METHOD,DECIMALS,END_DATE_METHOD,END_DAY,FLOAT_RATE.EXTERN_ID1,FLOAT_RATE.INSID,FLOAT_RATE_FACTOR,INTEREST_PAYMENT_TIME,NOMINAL_AT_END,NOMINAL_FACTOR,PAYLEG,PAY_CALNBR.CALID,PAY_DAY_METHOD,RESET_CALNBR.CALID,RESET_DAY_METHOD,RESET_DAY_OFFSET,RESET_TYPE,ROLLING_BASE_DAY,ROLLING_CONVENTION,ROLLING_PERIOD,ROUNDING,SPREAD,START_DAY,TYPE,END_DAY,FIXED_AMOUNT,FLOAT_RATE_FACTOR,NOMINAL_FACTOR,PAY_DAY,SPREAD,START_DAY,TYPE,DAY,READ_TIME,TYPE,VALUE,,,,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
1000000,IDR,2027-09-14,PsRvm_5.4.9 FRN - Deflator Factor Method_MANDIRI-216,FRN,Yes,Business Days,PriceBase-Theoretical,ValGroup,Pct of Nominal,2,IDR,Act/360,5,Relative Start,2027-09-14,JIIN3M,IDR/JIBOR/3M,1,In Arrears,Yes,1,No,Jakarta,Mod. Following,Jakarta,Following,-2,Single,2027-09-14,None,3m,Normal,-0.1788761,2022-09-14,Float,2022-12-14,,1,1,2022-12-14,-0.1788761,2022-09-14,Float Rate,2022-09-12,2022-09-12 16:00:00 UTC,Single,4.23844,,,,DeflatorFactorA,0.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-14,,1,1,2023-03-14,-0.1788761,2022-12-14,Float Rate,2022-12-12,2022-12-12 16:00:00 UTC,Single,6.3475,,,,DeflatorFactorB,0.25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-14,,1,1,2023-06-14,-0.1788761,2023-03-14,Float Rate,2023-03-10,2023-09-12 07:43:12 UTC,Single,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-14,,1,1,2023-09-14,-0.1788761,2023-06-14,Float Rate,2023-06-12,2023-09-12 07:43:17 UTC,Single,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-14,,1,1,2023-12-14,-0.1788761,2023-09-14,Float Rate,2023-09-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14,,1,1,2024-03-14,-0.1788761,2023-12-14,Float Rate,2023-12-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-14,,1,1,2024-06-14,-0.1788761,2024-03-14,Float Rate,2024-03-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-16,,1,1,2024-09-16,-0.1788761,2024-06-14,Float Rate,2024-06-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-16,,1,1,2024-12-16,-0.1788761,2024-09-16,Float Rate,2024-09-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-14,,1,1,2025-03-14,-0.1788761,2024-12-16,Float Rate,2024-12-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-16,,1,1,2025-06-16,-0.1788761,2025-03-14,Float Rate,2025-03-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-15,,1,1,2025-09-15,-0.1788761,2025-06-16,Float Rate,2025-06-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,1,1,2025-12-15,-0.1788761,2025-09-15,Float Rate,2025-09-11,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-16,,1,1,2026-03-16,-0.1788761,2025-12-15,Float Rate,2025-12-11,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-15,,1,1,2026-06-15,-0.1788761,2026-03-16,Float Rate,2026-03-12,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14,,1,1,2026-09-14,-0.1788761,2026-06-15,Float Rate,2026-06-11,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-12-14,,1,1,2026-12-14,-0.1788761,2026-09-14,Float Rate,2026-09-10,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-03-15,,1,1,2027-03-15,-0.1788761,2026-12-14,Float Rate,2026-12-10,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-06-14,,1,1,2027-06-14,-0.1788761,2027-03-15,Float Rate,2027-03-11,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-09-14,,1,1,2027-09-14,-0.1788761,2027-06-14,Float Rate,2027-06-10,,Single,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2027-09-14,,,Fixed Amount,,,,,,,,,,,
