CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,MASTER,,Fitch,
Sandi_06,Fitch,6,A,
Sandi_07,Fitch,7,A-,
Sandi_05,Fitch,5,A+,
Sandi_03,Fitch,3,AA,
Sandi_04,Fitch,4,AA-,
Sandi_02,Fitch,2,AA+,
Sandi_01,Fitch,1,AAA,
Sandi_15,Fitch,15,B,
Sandi_16,Fitch,16,B-,
Sandi_14,Fitch,14,B+,
Sandi_12,Fitch,12,BB,
Sandi_13,Fitch,13,BB-,
Sandi_11,Fitch,11,BB+,
Sandi_09,Fitch,9,BBB,
Sandi_10,Fitch,10,BBB-,
Sandi_08,Fitch,8,BBB+,
Sandi_21,Fitch,21,C,
Sandi_20,Fitch,20,CC,
Sandi_18,Fitch,18,CCC,
Sandi_19,Fitch,19,CCC-,
Sandi_17,Fitch,17,CCC+,
Sandi_22,Fitch,22,D,
Sandi_23,Fitch,23,NR,
