CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
Sandi_01,idAAA,Pefindo,,
Sandi_02,idAA+,Pefindo,1,
Sandi_03,idAA,Pefindo,2,
Sandi_04,idAA-,Pefindo,3,
Sandi_05,idA+,Pefindo,4,
Sandi_06,idA,Pefindo,5,
Sandi_07,idA-,Pefindo,6,
Sandi_08,idBBB+,Pefindo,7,
Sandi_09,idBBB,Pefindo,8,
Sandi_10,idBBB-,Pefindo,9,
Sandi_11,idBB+,Pefindo,10,
Sandi_12,idBB,Pefindo,11,
Sandi_13,idBB-,Pefindo,12,
Sandi_14,idB+,Pefindo,13,
Sandi_15,idB,Pefindo,14,
Sandi_16,idB-,Pefindo,15,
Sandi_18,idCCC,Pefindo,16,
Sandi_22,idD,Pefindo,17,
,NA,Pefindo,18,
