CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
Sandi_01,AAA(idn),Fitch Indonesia,,
Sandi_02,AA+(idn),Fitch Indonesia,1,
Sandi_03,AA(idn),Fitch Indonesia,2,
Sandi_04,AA-(idn),Fitch Indonesia,3,
Sandi_05,A+(idn),Fitch Indonesia,4,
Sandi_06,A(idn),Fitch Indonesia,5,
Sandi_07,A-(idn),Fitch Indonesia,6,
Sandi_08,BBB+(idn),Fitch Indonesia,7,
Sandi_09,BBB(idn),Fitch Indonesia,8,
Sandi_10,BBB-(idn),Fitch Indonesia,9,
Sandi_11,BB+(idn),Fitch Indonesia,10,
Sandi_12,BB(idn),Fitch Indonesia,11,
Sandi_13,BB-(idn),Fitch Indonesia,12,
Sandi_14,B+(idn),Fitch Indonesia,13,
Sandi_15,B(idn),Fitch Indonesia,14,
Sandi_16,B-(idn),Fitch Indonesia,15,
Sandi_18,CCC(idn),Fitch Indonesia,16,
Sandi_20,CC(idn),Fitch Indonesia,17,
Sandi_21,C(idn),Fitch Indonesia,18,
Sandi_22,D(idn),Fitch Indonesia,19,
,NA,Fitch Indonesia,20,
