CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,MASTER,,S&P,
Sandi_06,S&P,6,A,
Sandi_07,S&P,7,A-,
Sandi_05,S&P,5,A+,
Sandi_03,S&P,3,AA,
Sandi_04,S&P,4,AA-,
Sandi_02,S&P,2,AA+,
Sandi_01,S&P,1,AAA,
Sandi_15,S&P,15,B,
Sandi_16,S&P,16,B-,
Sandi_14,S&P,14,B+,
Sandi_12,S&P,12,BB,
Sandi_13,S&P,13,BB-,
Sandi_11,S&P,11,BB+,
Sandi_09,S&P,9,BBB,
Sandi_10,S&P,10,BBB-,
Sandi_08,S&P,8,BBB+,
Sandi_21,S&P,22,C,
Sandi_20,S&P,20,CC,
Sandi_18,S&P,18,CCC,
Sandi_19,S&P,19,CCC-,
Sandi_17,S&P,17,CCC+,
Sandi_22,S&P,23,D,
Sandi_23,S&P,24,NR,
Sandi_21,S&P,21,R,
