CHOICELIST,,,,/CHOICELIST
DESCRIPTION,LIST,SORT_ORDER,ENTRY,
,MASTER,,Pefindo,
Sandi_06,Pefindo,6,idA,
Sandi_07,Pefindo,7,idA-,
Sandi_05,Pefindo,5,idA+,
Sandi_03,Pefindo,3,idAA,
Sandi_04,Pefindo,4,idAA-,
Sandi_02,Pefindo,2,idAA+,
Sandi_01,Pefindo,1,idAAA,
Sandi_15,Pefindo,15,idB,
Sandi_16,Pefindo,16,idB-,
Sandi_14,Pefindo,14,idB+,
Sandi_12,Pefindo,12,idBB,
Sandi_13,Pefindo,13,idBB-,
Sandi_11,Pefindo,11,idBB+,
Sandi_09,Pefindo,9,idBBB,
Sandi_10,Pefindo,10,idBBB-,
Sandi_08,Pefindo,8,idBBB+,
Sandi_18,Pefindo,17,idCCC,
Sandi_22,Pefindo,22,idD,
Sandi_23,Pefindo,23,NR,
